transaction_id,user_id,amount,payment_method,failure_reason,timestamp,hour_of_day,day_of_week,device_type,retry_count,past_success_rate,preferred_channel,retry_success
5dd75c0d-1fd,U00541,561.83,debit_card,expired_card,2026-08-12 02:25:19.723244,2,2,ios,0,0.61,email,0
5e8af530-98e,U00498,908.75,upi,expired_card,2026-07-12 04:17:00.728598,4,6,mobile_web,2,0.65,email,0
ad03139c-556,U00578,327.9,netbanking,daily_limit_exceeded,2026-07-11 00:57:06.729115,0,5,mobile_web,0,0.56,whatsapp,1
cc2eda80-47f,U00066,307.02,credit_card,card_declined_by_bank,2026-08-08 10:51:52.729115,10,5,desktop_web,3,0.77,whatsapp,1
c1f9e4c0-8bf,U00230,606.47,credit_card,network_timeout,2026-07-27 04:20:33.730303,4,0,android,0,0.67,email,0
d6543fa7-c28,U00674,424.21,credit_card,card_declined_by_bank,2026-06-03 15:30:39.730303,15,2,ios,3,0.57,sms,0
21024d71-83e,U00419,701.72,wallet,insufficient_balance,2026-07-07 03:22:37.730303,3,1,android,1,0.79,whatsapp,1
692fddb7-866,U00134,376.04,upi,bank_server_down,2026-06-29 02:20:14.731853,2,0,desktop_web,3,0.64,sms,1
64d85697-750,U00885,3263.0,upi,bank_server_down,2026-08-27 18:10:35.731853,18,3,android,1,0.99,whatsapp,1
fe8d7c59-bfe,U00387,1186.7,credit_card,network_timeout,2026-06-08 07:25:01.731853,7,0,android,1,0.99,email,1
3d6ede35-eca,U00821,489.4,debit_card,daily_limit_exceeded,2026-08-06 02:44:17.733413,2,3,ios,3,0.99,whatsapp,1
e8e8cbbf-3a5,U00959,405.73,upi,wrong_otp,2026-06-16 21:29:31.733413,21,1,mobile_web,1,0.85,whatsapp,1
08473cef-36e,U00859,662.43,netbanking,insufficient_balance,2026-06-30 23:49:25.734455,23,1,ios,0,0.87,whatsapp,1
54310f34-817,U00858,364.02,upi,network_timeout,2026-07-31 02:10:13.734455,2,4,desktop_web,0,0.7,whatsapp,0
8e5cd6f6-d16,U00862,46.8,credit_card,bank_server_down,2026-08-15 07:59:36.734455,7,5,ios,3,0.99,whatsapp,1
d8e1f818-062,U00473,591.03,credit_card,insufficient_balance,2026-06-16 02:51:56.736005,2,1,desktop_web,1,0.99,email,1
c05914a0-a97,U00797,217.2,upi,insufficient_balance,2026-08-13 04:56:23.736005,4,3,android,3,0.88,whatsapp,0
f684dc0d-fd9,U00670,3142.67,upi,network_timeout,2026-07-12 20:31:54.736005,20,6,desktop_web,1,0.97,whatsapp,1
ec05c879-c6b,U00817,1155.79,upi,insufficient_balance,2026-06-19 05:21:12.737534,5,4,android,2,0.91,sms,0
47494364-8e3,U00888,1300.65,upi,wrong_otp,2026-07-17 22:35:43.737534,22,4,android,3,0.87,sms,1
f7be267c-8fb,U00834,346.96,upi,wrong_otp,2026-07-15 17:09:50.738546,17,2,mobile_web,3,0.77,email,0
0ad4b1d8-e0e,U00459,951.78,upi,wrong_otp,2026-05-31 03:59:27.739089,3,6,ios,2,0.6,sms,1
121a8c3a-173,U00045,449.8,credit_card,wrong_otp,2026-08-18 15:39:08.739824,15,1,ios,0,0.67,sms,1
cec08149-97d,U00516,1682.71,upi,insufficient_balance,2026-07-03 09:56:59.740339,9,4,android,1,0.86,whatsapp,0
b108341f-132,U00454,444.63,netbanking,network_timeout,2026-08-19 21:23:23.740339,21,2,desktop_web,2,0.7,email,1
08638e41-701,U00904,1186.55,netbanking,insufficient_balance,2026-07-10 00:15:17.740339,0,4,ios,1,0.81,whatsapp,1
384ef913-cd3,U00092,258.8,credit_card,network_timeout,2026-08-05 16:01:05.741886,16,2,ios,3,0.67,sms,0
64ec6f1c-a9e,U00795,1359.2,debit_card,bank_server_down,2026-06-03 00:11:17.741886,0,2,android,2,0.94,sms,1
e8bc2d08-966,U00309,686.02,upi,daily_limit_exceeded,2026-08-18 04:01:48.741886,4,1,android,3,0.75,whatsapp,1
9e4f7e50-e72,U00811,1971.46,debit_card,insufficient_balance,2026-07-15 05:45:26.743437,5,2,ios,0,0.71,sms,1
5c97f6f2-2d5,U00301,518.04,credit_card,insufficient_balance,2026-07-20 16:47:47.743437,16,0,mobile_web,1,0.7,sms,0
f361accc-361,U00895,326.42,credit_card,network_timeout,2026-06-10 03:22:02.743437,3,2,android,3,0.88,whatsapp,1
61c1f541-3d6,U00203,194.93,debit_card,wrong_otp,2026-08-15 01:16:42.744985,1,5,desktop_web,3,0.94,email,1
9127c22b-0d0,U00169,326.62,credit_card,bank_server_down,2026-07-20 12:55:30.744985,12,0,desktop_web,1,0.67,whatsapp,1
a00f7a4d-86a,U00669,518.81,credit_card,wrong_otp,2026-08-09 07:47:53.744985,7,6,mobile_web,3,0.94,sms,1
7953ac47-7d4,U00798,50.86,debit_card,daily_limit_exceeded,2026-06-22 02:57:19.746526,2,0,desktop_web,1,0.78,sms,1
3c4c401e-65f,U00254,1738.66,upi,insufficient_balance,2026-07-30 06:06:13.746526,6,3,android,1,0.55,sms,1
040d7e55-2e1,U00044,1391.49,debit_card,expired_card,2026-07-09 17:27:37.747531,17,3,android,2,0.56,whatsapp,0
14b26715-104,U00928,157.55,upi,card_declined_by_bank,2026-06-20 03:27:28.748036,3,5,android,1,0.99,sms,1
e1a48908-d17,U00617,254.31,credit_card,insufficient_balance,2026-06-06 02:44:39.748036,2,5,desktop_web,2,0.89,email,1
6c7ad573-462,U00857,299.06,credit_card,bank_server_down,2026-05-31 02:57:41.748550,2,6,android,2,0.85,whatsapp,1
85cc262f-22f,U00238,380.59,upi,network_timeout,2026-07-29 08:02:35.748550,8,2,android,1,0.68,email,1
e66a1ff7-e18,U00405,1406.94,upi,card_declined_by_bank,2026-08-28 01:44:32.749557,1,4,mobile_web,3,0.87,sms,1
64b9c060-a17,U00342,2178.25,debit_card,network_timeout,2026-07-16 06:38:26.749557,6,3,ios,3,0.82,sms,1
47313dcf-5b2,U00298,260.18,netbanking,wrong_otp,2026-07-02 01:32:12.749557,1,3,mobile_web,3,0.9,email,1
96f3b084-9e0,U00962,397.59,netbanking,insufficient_balance,2026-07-20 02:51:48.751428,2,0,desktop_web,2,0.81,email,0
666c92bf-5f6,U00111,473.44,credit_card,insufficient_balance,2026-07-25 14:06:31.751428,14,5,desktop_web,2,0.78,whatsapp,0
5727753e-c3b,U00053,990.14,upi,insufficient_balance,2026-08-20 03:44:20.751428,3,3,android,2,0.87,whatsapp,1
d353fa16-aa7,U00684,673.04,wallet,network_timeout,2026-08-20 07:37:20.752983,7,3,ios,3,0.6,whatsapp,1
b031c071-6d4,U00930,858.01,upi,insufficient_balance,2026-08-14 11:40:05.752983,11,4,desktop_web,2,0.7,sms,1
ee84fac1-f27,U00775,426.79,debit_card,insufficient_balance,2026-06-07 22:55:41.752983,22,6,mobile_web,1,0.54,whatsapp,0
f0acc735-a9d,U00599,206.25,upi,card_declined_by_bank,2026-06-28 21:51:02.754379,21,6,ios,2,0.84,whatsapp,1
4590a277-2f3,U00520,1949.85,upi,bank_server_down,2026-06-03 03:48:41.754379,3,2,ios,0,0.53,sms,0
af02583b-a03,U00807,205.53,upi,insufficient_balance,2026-07-16 09:21:41.754379,9,3,ios,1,0.71,sms,0
